id,question,questionArabic,answer,answerArabic
T1,Are fees paid every semester?,هل يتم دفع الرسوم كل فصل دراسي؟,Fees are connected to the registration of courses. Students pay fees according to credit hours.,الرسوم مرتبطة بتسجيل المقررات الدراسية، حيث يقوم الطالب بدفع الرسوم حسب الساعات المعتمدة.
T2,Are old General diploma and General diplomas from other countries accepted?,هل يتم قبول الشهادات العامة القديمة والشهادات العامة من دول أخرى؟,Passing the high school General Diploma or its equivalent from other countries. Years of experience cannot be regarded equal to high school General Diploma.,الحصول على شهادة الثانوية العامة أو ما يعادلها من دول أخرى، ولا يمكن اعتبار سنوات الخبرة مساوية لشهادة الثانوية العامة.
T3,Are the lectures uploaded online?,هل يتم رفع المحاضرات على الانترنت؟,"Lectures are not uploaded online. However, there are online resources and activities done through the e-learning forum.",لا يتم تحميل المحاضرات على الإنترنت، ولكن هناك موارد وأنشطة متاحة على الإنترنت من خلال منتدى التعلم الإلكتروني.
T4,Are there any benefits?,هل هناك أي فوائد؟,The University Students Fund provides high-achieving students with scholarships and gives grants to students in need. Annually the university gives six scholarships to students who have excelled in their studies.,يقدم صندوق طلاب الجامعة منحًا دراسية للطلاب المتفوقين ويمنح المنح للطلاب المحتاجين. تقدم الجامعة سنويًا ست منح دراسية للطلاب المتفوقين في دراستهم.
T5,Can a student skip the foundation program if s/he gets a high mark in the placement test?,هل يمكن للطالب تخطي البرنامج التأسيسي إذا حصل على علامة عالية في اختبار تحديد المستوى؟,Students are exempted from the foundation program if they successfully pass the placement test.,يتم إعفاء الطلاب من البرنامج التأسيسي إذا اجتازوا اختبار تحديد المستوى بنجاح.
T6,Can students postpose taking some courses?,هل يمكن للطلبة تأجيل دراسة بعض المقررات الدراسية؟,"Students can postpone one or more semesters without paying any fees. According to the by-laws, they can carry on their studies in the university till 12 years",يحق للطلبة تأجيل فصل دراسي واحد أو أكثر دون دفع أي رسوم، ووفقاً للوائح الجامعة، يمكنهم الاستمرار في الدراسة بالجامعة حتى 12 عاماً.
T7,Does taking an IT course require a scientific General Diploma?,هل دراسة تقنية المعلومات تتطلب الحصول على دبلوم علمي عام؟,Holders of any general diploma can take the IT course.,يمكن لحاملي أي دبلوم عام أن يأخذوا دورة تكنولوجيا المعلومات.
T8,How are lectures and classes scheduled (morning or evening)?,كيف يتم جدولة المحاضرات والدروس (صباحية أم مسائية)؟,Students are free to choose the timing of lectures from 9 am to 9 pm. the number of hours depends on credited hours. The average is 4hours weekly.,يحق للطالب اختيار توقيت المحاضرات من الساعة 9 صباحًا حتى 9 مساءً، ويعتمد عدد الساعات على الساعات المعتمدة، ويبلغ المتوسط 4 ساعات أسبوعيًا.
T9,How much do studies cost?,كم تكلفة الدراسة؟,There is an average of 650 OMR  for each semester including registration fees as well as books and study fees.,يبلغ متوسط الرسوم الدراسية لكل فصل دراسي 650 ريال عماني شاملة رسوم التسجيل بالإضافة إلى رسوم الكتب والدراسة.
T10,Is the university acknowledged inside and outside Oman?,هل الجامعة معترف بها داخل وخارج عمان؟,"The university gives an acknowledged bachelor degree certificate, given by the ministry of higher education just like any other private institution. In terms of the outside, it depends on the country itself. But it's simply acknowledged by the protocol.",تمنح الجامعة شهادة بكالوريوس معترف بها من وزارة التعليم العالي مثلها كمثل أي مؤسسة خاصة أخرى، أما من الناحية الخارجية فالأمر يعتمد على البلد نفسه، ولكنها معترف بها فقط من خلال البروتوكول.
T11,What are the degrees given by the university?,ما هي الدرجات العلمية التي تمنحها الجامعة؟,"Diploma, Bachelor and MA",دبلوم وبكالوريوس وماجستير
T12,What`s the protocol in the university in term of studying? Regular or Joining?,ما هو البروتوكول المتبع في الجامعة من حيث الدراسة هل منتظم أم منتسب؟,"The university follows something called ""Open Education"" which combines coming to classes, online studying and using LRC. This program is to come to regular classes for 8-10 hours weekly in foundation year and 4 hours in specialization after the foundation.","تتبع الجامعة ما يسمى بـ ""التعليم المفتوح"" والذي يجمع بين الحضور إلى الفصول الدراسية والدراسة عبر الإنترنت واستخدام مركز مصادر التعلم. ويتمثل هذا البرنامج في الحضور إلى الفصول الدراسية العادية لمدة 8-10 ساعات أسبوعيًا في السنة التأسيسية و4 ساعات في التخصص بعد السنة التأسيسية."
T13,What’s the reason behind the placement test?,ما هو السبب وراء اختبار تحديد المستوى؟,"It aims at assessing the student’s level in English, Arabic, IT and Mathematics.",يهدف إلى تقييم مستوى الطالب في اللغة الإنجليزية واللغة العربية وتكنولوجيا المعلومات والرياضيات.
T15,When are the fees paid? Is there any installment system?,متى يتم دفع الرسوم وهل يوجد نظام تقسيط؟,"Fees are paid at the beginning of every semester. Students can pay by installment: * Half of the studies fees, as well as registration and books fees, are paid immediately after the registration. * A quarter of study fees which is paid by the end of the first month. * A quarter of study fees which is paid by the end of the second month. Summer course fees are not paid by installment.",يتم دفع الرسوم الدراسية في بداية كل فصل دراسي ويمكن للطالب الدفع بالتقسيط: * يتم دفع نصف رسوم الدراسة ورسوم التسجيل والكتب فور التسجيل. * يتم دفع ربع رسوم الدراسة مع نهاية الشهر الأول. * يتم دفع ربع رسوم الدراسة مع نهاية الشهر الثاني. لا يتم دفع رسوم الدورات الصيفية بالتقسيط.
